icpsr,bioname,party,state_abbrev
4418,"HILL, Joseph Lister",Democrat,AL
8764,"SPARKMAN, John Jackson",Democrat,AL
3658,"GOLDWATER, Barry Morris",Republican,AZ
4227,"HAYDEN, Carl Trumbull",Democrat,AZ
3388,"FULBRIGHT, James William",Democrat,AR
6151,"McCLELLAN, John Little",Democrat,AR
5343,"KNOWLAND, William Fife",Republican,CA
5372,"KUCHEL, Thomas Henry",Republican,CA
4949,"JOHNSON, Edwin Carl",Democrat,CO
6525,"MILLIKIN, Eugene Donald",Republican,CO
1329,"BUSH, Prescott Sheldon",Republican,CT
7656,"PURTELL, William Arthur",Republican,CT
3349,"FREAR, Joseph Allen, Jr.",Democrat,DE
10163,"WILLIAMS, John James",Republican,DE
4520,"HOLLAND, Spessard Lindsey",Democrat,FL
8593,"SMATHERS, George Armistead",Democrat,FL
3536,"GEORGE, Walter Franklin",Democrat,GA
8138,"RUSSELL, Richard Brevard, Jr.",Democrat,GA
2803,"DWORSHAK, Henry Clarence",Republican,ID
9930,"WELKER, Herman",Republican,ID
2609,"DIRKSEN, Everett McKinley",Republican,IL
2691,"DOUGLAS, Paul Howard",Democrat,IL
1489,"CAPEHART, Homer Earl",Republican,IN
4922,"JENNER, William Ezra",Republican,IN
3603,"GILLETTE, Guy Mark",Democrat,IA
4382,"HICKENLOOPER, Bourke Blakemore",Republican,IA
1510,"CARLSON, Frank",Republican,KS
8270,"SCHOEPPEL, Andrew Frank",Republican,KS
1831,"CLEMENTS, Earle C.",Democrat,KY
2052,"COOPER, John Sherman",Republican,KY
2901,"ELLENDER, Allen Joseph",Democrat,LA
5767,"LONG, Russell Billiu",Democrat,LA
7271,"PAYNE, Frederick George",Republican,ME
8666,"SMITH, Margaret Chase",Republican,ME
546,"BEALL, James Glenn",Republican,MD
1341,"BUTLER, John Marshall",Republican,MD
5180,"KENNEDY, John Fitzgerald",Democrat,MA
8185,"SALTONSTALL, Leverett",Republican,MA
3110,"FERGUSON, Homer Samuel",Republican,MI
7551,"POTTER, Charles Edward",Republican,MI
4728,"HUMPHREY, Hubert Horatio, Jr.",Democrat,MN
9374,"THYE, Edward John",Republican,MN
2822,"EASTLAND, James Oliver",Democrat,MS
8883,"STENNIS, John Cornelius",Democrat,MS
4328,"HENNINGS, Thomas Carey, Jr.",Democrat,MO
9141,"SYMINGTON, William Stuart (Stuart)",Democrat,MO
5967,"MANSFIELD, Michael Joseph (Mike)",Democrat,MT
6820,"MURRAY, James Edward",Democrat,MT
9,"ABEL, Hazel Hempel",Republican,NE
923,"BOWRING, Eva Kelly",Republican,NE
1338,"BUTLER, Hugh Alfred",Republican,NE
3839,"GRISWOLD, Dwight Palmer",Republican,NE
4660,"HRUSKA, Roman Lee",Republican,NE
7837,"REYNOLDS, Samuel Williams",Republican,NE
1106,"BROWN, Ernest S.",Republican,NV
5944,"MALONE, George Wilson",Republican,NV
6132,"McCARRAN, Patrick Anthony (Pat)",Democrat,NV
1027,"BRIDGES, Henry Styles (Styles)",Republican,NH
2087,"COTTON, Norris H.",Republican,NH
9401,"TOBEY, Charles William",Republican,NH
9576,"UPTON, Robert William",Republican,NH
4321,"HENDRICKSON, Robert Clymer",Republican,NJ
8635,"SMITH, Howard Alexander",Republican,NJ
165,"ANDERSON, Clinton Presba",Democrat,NM
1678,"CHAVEZ, Dennis",Democrat,NM
4834,"IVES, Irving McNeil",Republican,NY
5591,"LEHMAN, Herbert Henry",Democrat,NY
2987,"ERVIN, Samuel James, Jr.",Democrat,NC
4483,"HOEY, Clyde Roark",Democrat,NC
5606,"LENNON, Alton Asa",Democrat,NC
8313,"SCOTT, William Kerr",Democrat,NC
8708,"SMITH, Willis",Democrat,NC
5452,"LANGER, William",Republican,ND
10450,"YOUNG, Milton Ruben",Republican,ND
1024,"BRICKER, John William",Republican,OH
1272,"BURKE, Thomas A.",Democrat,OH
9152,"TAFT, Robert Alphonso",Republican,OH
5213,"KERR, Robert Samuel",Democrat,OK
6597,"MONRONEY, Almer Stillwell Mike",Democrat,OK
2066,"CORDON, Guy",Republican,OR
6738,"MORSE, Wayne Lyman",Other,OR
2745,"DUFF, James Henderson",Republican,PA
6021,"MARTIN, Edward",Republican,PA
3783,"GREEN, Theodore Francis",Democrat,RI
7229,"PASTORE, John Orlando",Democrat,RI
2322,"DANIEL, Charles Ezra",Democrat,SC
5009,"JOHNSTON, Olin DeWitt Talmadge",Democrat,SC
6107,"MAYBANK, Burnet Rhett",Democrat,SC
1570,"CASE, Francis Higbee",Republican,SD
6796,"MUNDT, Karl Earl",Republican,SD
3704,"GORE, Albert Arnold",Democrat,TN
5122,"KEFAUVER, Carey Estes",Democrat,TN
2326,"DANIEL, Marion Price",Democrat,TX
4979,"JOHNSON, Lyndon Baines",Democrat,TX
645,"BENNETT, Wallace Foster",Republican,UT
9865,"WATKINS, Arthur Vivian",Republican,UT
52,"AIKEN, George David",Republican,VT
3206,"FLANDERS, Ralph Edward",Republican,VT
1365,"BYRD, Harry Flood",Democrat,VA
7958,"ROBERTSON, Absalom Willis",Democrat,VA
4851,"JACKSON, Henry Martin (Scoop)",Democrat,WA
5913,"MAGNUSON, Warren Grant",Democrat,WA
5240,"KILGORE, Harley Martin",Democrat,WV
6856,"NEELY, Matthew Mansfield",Democrat,WV
6137,"McCARTHY, Joseph Raymond",Republican,WI
10110,"WILEY, Alexander",Republican,WI
464,"BARRETT, Frank Aloysius",Republican,WY
2175,"CRIPPA, Edward David",Republican,WY
4747,"HUNT, Lester Callaway",Democrat,WY
7070,"O'MAHONEY, Joseph Christopher",Democrat,WY
